
###############################
COMPAS, ONLY_PANDAS, PURE_RUN, 10000000, VIEW, NON-MATERIALIZED, Pandas, 54906.76683399943, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000000, VIEW, NON-MATERIALIZED, Umbra, 7847.902, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]

COMPAS, ONLY_PANDAS, PURE_RUN, 100, VIEW, NON-MATERIALIZED, PostgreSQL, 1.2199878692626953, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000, VIEW, NON-MATERIALIZED, PostgreSQL, 3.3981800079345703, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000, VIEW, NON-MATERIALIZED, PostgreSQL, 29.78348731994629, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 100000, VIEW, NON-MATERIALIZED, PostgreSQL, 146.13890647888184, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000000, VIEW, NON-MATERIALIZED, PostgreSQL, 2693.7177181243896, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000000, VIEW, NON-MATERIALIZED, PostgreSQL, 10034.139156341553, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]

